	A549_CTL_rnaseq	A549_PIC_rnaseq
CSNK2B	2179	766
CSNK2A3	1608	68
CSNK2A2	5695	1175
CSNK2A1	15497	1977
CSNK1G3	3381	331
CSNK1G2P1	1	23
CSNK1G2-AS1	11	1
CSNK1G2	1305	249
CSNK1G1	4430	418
CSNK1E	2119	792
CSNK1D	6096	5608
CSNK1A1P1	12	0
CSNK1A1	12128	1782
CSMD3	332	70
CSKMT	214	1317
CSK	2094	212
CSHL1	0	22
CSH2	0	26
CSH1	0	20
CSGALNACT2-DT	26	382
CSGALNACT2	2225	1163
CSGALNACT1	6747	4276
CSF3R	0	12
CSF3	0	562
CSF2RA	499	118
CSF2	2	12
CSF1R	3	139
CSF1	1094	5471
CSE1L	20812	1142
CSDE1	23172	1980
CSDC2	154	46
CSAG3	0	1006
CSAG2	0	60
CSAG1	2	16
CSAD	271	230
CS	15692	3521
CRYZP1	19	6
CRYZL2P-SEC16B	312	65
CRYZL2P	929	80
CRYZL1	835	201
CRYZ	8695	738
CRYM-AS1	47	358
CRYM	64	298
CRYL1	257	8
CRYGS	103	59
CRYGC	0	10
CRYBG3	5100	555
CRYBG2	20	22
CRYBG1	224	115
CRYBB2P1	308	232
CRYBA1	0	19
CRYAB	30	4
CRY2	284	475
CRY1	1770	1204
CRTC3-AS1	81	16
CRTC3	2014	329
CRTC2	703	889
CRTC1	423	48
CRTAP	16129	817
CRTAM	0	12
CRTAC1	15	16
CRPPA	171	19
CROT	1433	124
CROCCP3	128	162
CROCCP2	578	724
CROCC	93	49
CRNKL1	3098	2460
CRNDE	1360	845
CRMP1	611	71
CRLS1	3008	437
CRLF3	1644	418
CRLF2	41	90
CRLF1	239	850
CRKL	3871	4186
CRK	9329	1384
CRISPLD2	359	216
CRISPLD1	195	40
CRISP3	18	0
CRIPT	1421	255
CRIP3	8	10
CRIP2	635	79
CRIP1	1511	245
CRIM1-DT	106	419
CRIM1	20930	2946
CRH	2	24
CREM	1333	495
CRELD2	743	484
CRELD1	413	694
CREG2	206	44
CREG1	9321	843
CREBZF	7923	8506
CREBRF	240	2315
CREBL2	2691	309
CREBBP	3685	1106
CREB5	89	1033
CREB3L4	263	233
CREB3L3	12	119
CREB3L2	4470	307
CREB3L1	21	23
CREB3	2239	1506
CREB1	3251	1334
CRCP	2285	699
CRBN	2079	1905
CRB3	51	18
CRB2	84	18
CRAT	910	64
CRAMP1	1258	1016
CRADD	338	13
CRACR2B	95	289
CRACR2A	147	3
CRACDL	25	2
CRACD	544	46
CRABP2	83	297
CR2	2	26
CR1L	0	14
CPXM1	0	69
CPVL	149	4
CPTP	326	15
CPT2	777	390
CPT1C	93	219
CPT1B	373	1098
CPT1A	5089	694
CPSF7	5898	4814
CPSF6	6362	3050
CPSF4L	179	190
CPSF4	912	264
CPSF3	5839	1336
CPSF2	9402	523
CPSF1P1	79	14
CPSF1	2302	1922
CPS1	11320	407
CPQ	89	8
CPPED1	3310	87
CPOX	2613	431
CPNE8-AS1	6	92
CPNE8	2259	821
CPNE7	1997	5983
CPNE4	403	60
CPNE3	10149	958
CPNE2	1517	621
CPNE1	4013	1254
CPN1	18	0
CPM	1074	360
CPLX2	53781	2012
CPLX1	24	20
CPLANE2	49	1
CPLANE1-AS1	39	97
CPLANE1	2415	441
CPHXL	0	37
CPHL1P	12	37
CPED1	2	12
CPEB4	2853	2667
CPEB3	107	275
CPEB2-DT	5	24
CPEB2	4612	4602
CPEB1-AS1	9	32
CPEB1	421	106
CPE	439	17
CPD	12637	633
CPB2-AS1	51	438
CPB2	12	69
CPA4	1015	504
CPA2	0	18
CP	4943	466
COX8A	1856	195
COX7CP1	2	13
COX7C	5186	1238
COX7B	3385	4218
COX7A2L	4574	793
COX7A2	2116	1137
COX7A1	8	28
COX6CP2	2	229
COX6C	3413	357
COX6B2	0	55
COX6B1	4465	634
COX6A1P2	27	9
COX6A1	3602	722
COX5BP4	3	32
COX5B	1363	592
COX5A	3357	378
COX4I1	6597	5434
COX20P1	21	2
COX20	4307	4362
COX19	739	1219
COX18	1118	585
COX17	885	179
COX16	3121	329
COX15	5272	812
COX14	531	38
COX11	8063	984
COX10-DT	1344	247
COX10	1644	182
COTL1	19159	3444
COSMOC	31	16
CORT	64	23
CORO7-PAM16	484	151
CORO7	297	90
CORO6	115	282
CORO2B	80	4
CORO2A	274	100
CORO1C	21485	1553
CORO1B	1021	697
CORO1A	70	34
COQ9	1815	560
COQ8B	1193	591
COQ8A	514	158
COQ7-DT	162	76
COQ7	1248	854
COQ6	1122	558
COQ5	1563	332
COQ4	984	281
COQ3	583	112
COQ2	1333	103
COQ10B	2094	879
COQ10A	634	773
COPZ2	210	33
COPZ1	7723	2216
COPS9	848	273
COPS8P2	28	6
COPS8-DT	14	47
COPS8	3968	1100
COPS7B	1181	458
COPS7A	1691	392
COPS6	3714	591
COPS5	3656	3313
COPS4	1834	114
COPS3	7959	1463
COPS2	7968	553
COPRS	1880	434
COPG2IT1	32	28
COPG2	2063	49
COPG1	4727	780
COPE	1251	393
COPB2-DT	51	112
COPB2	9278	3770
COPB1	13575	1557
COPA	9405	1560
COP1-DT	7	54
COP1	1989	112
COMTD1	122	199
COMT	1377	149
COMP	0	113
COMMD9	1034	190
COMMD8	1403	150
COMMD7	2664	284
COMMD6	580	186
COMMD5	644	460
COMMD4	1451	526
COMMD3-BMI1	2952	3972
COMMD3	1542	5754
COMMD2	2866	248
COMMD10	2465	220
COMMD1	415	31
COMETT	7	39
COLQ	12	18
COLGALT2	8	14
COLGALT1	4947	208
COLEC11	12	51
COLCA2	42	26
COLCA1	35	56
COL9A3	15	17
COL8A1	2	141
COL7A1	6574	30848
COL6A6	0	20
COL6A4P1	9	15
COL6A3	26	33
COL6A2	146	212
COL6A1	466	558
COL5A3	44	100
COL5A2	8246	1564
COL5A1-AS1	2	35
COL5A1	2768	442
COL4A6	3771	264
COL4A5	3288	1055
COL4A4	662	117
COL4A3	314	166
COL4A2-AS2	84	2
COL4A2-AS1	174	34
COL4A2	6023	566
COL4A1	2871	1091
COL3A1	26	279
COL2A1	0	95
COL28A1	25	24
COL27A1	1189	1048
COL26A1	20	2
COL24A1	5	10
COL21A1	150	34
COL20A1	18	43
COL1A2	36	104
COL1A1	348	1756
COL18A1	5256	1170
COL17A1	65	145
COL16A1	380	638
COL15A1	9	26
COL14A1	6	26
COL13A1	10	5
COL12A1	2293	956
COL11A2	24	276
COL11A1	1536	359
COL10A1	0	19
COILP1	10	12
COIL	2237	1948
COG8	4088	1206
COG7	1028	119
COG6	906	70
COG5	2578	597
COG4	2592	472
COG3	1408	557
COG2	2196	615
COG1	2889	1143
COCH	2564	156
COBLL1	714	99
COBL	899	34
COASY	3463	2131
COA8	1441	142
COA7	2365	419
COA6-AS1	138	1201
COA6	978	224
COA5	917	1074
COA4	2417	466
COA3	1660	437
COA1	2830	458
CNTROB	1545	893
CNTRL	1292	304
CNTNAP3P7	7	14
CNTNAP3P2	364	35
CNTNAP3C	95	6
CNTNAP3B	2570	186
CNTNAP3	3826	386
CNTNAP2	40	9
CNTNAP1	488	92
CNTN2	0	21
CNTN1	27674	616
CNTLN	2376	189
CNTF	130	132
CNTD1	2195	1035
CNST	1569	327
CNRIP1	70	6
CNR1	42	46
CNPY4	356	40
CNPY3	1372	82
CNPY2-AS1	1410	986
CNPY2	2422	669
CNPPD1	942	169
CNP	5411	1586
CNOT9	4262	1236
CNOT8	2863	819
CNOT7	8692	2029
CNOT6LP1	6	170
CNOT6L	1552	128
CNOT6	4875	464
CNOT4	1344	481
CNOT3	2218	2936
CNOT2	3335	1270
CNOT11	3426	1068
CNOT10-AS1	187	8
CNOT10	2634	200
CNOT1	20823	2384
CNNM4	1093	374
CNNM3-DT	8	13
CNNM3	1229	141
CNNM2	6448	899
CNNM1	3150	194
CNN3-DT	108	143
CNN3	5310	470
CNN2	3313	404
CNN1	8	14
CNKSR3	688	438
CNKSR2	1375	116
CNKSR1	14	55
CNIH4	3400	330
CNIH3	29	12
CNIH2	13	57
CNIH1	8952	678
CNGB1	10	20
CNFN	5	43
CNEP1R1P1	0	14
CNEP1R1	1399	901
CNDP2	4831	731
CNBP	15965	3522
CNBD2	44	1120
CMYA5	32	56
CMTR2	2902	1491
CMTR1	1904	863
CMTM8	187	6
CMTM7	1341	157
CMTM6	6703	767
CMTM4	5649	288
CMTM3	1624	366
CMTM1	51	0
CMSS1	2275	31
CMPK2	16	1191
CMPK1	12993	528
CMKLR2-AS	0	19
CMKLR2	11	321
CMIP	9020	418
CMC4	534	571
CMC2	2528	344
CMC1	2021	2481
CMBL	1302	30
CMAS	4369	352
CLYBL	136	2
CLVS2	13	18
CLVS1	5437	224
CLUL1	38	19
CLUHP3	398	1618
CLUH	5691	2382
CLUAP1	1002	272
CLU	16254	2073
CLTRN	189	660
CLTCL1	457	123
CLTC	59031	3641
CLTB	1815	295
CLTA	8382	1608
CLSTN3	666	315
CLSTN2	58	3
CLSTN1	5842	337
CLSPN	4240	339
CLPX	5420	1885
CLPTM1L	6509	2292
CLPTM1	7096	1102
CLPP	644	84
CLPB	1654	448
CLP1	775	746
CLOCK	2984	1190
CLNS1A	3776	382
CLN8-AS1	541	372
CLN8	1463	804
CLN6	2859	245
CLN5	2291	2913
CLN3	688	139
CLMP	1660	54
CLMN	3890	321
CLK4	1136	3075
CLK3	1532	1267
CLK2	1281	1662
CLK1	2171	22447
CLIP4	4525	660
CLIP3	99	215
CLIP2	972	273
CLIP1-AS1	56	90
CLIP1	10443	1186
CLINT1	8873	1971
CLIC6	10	0
CLIC5	0	62
CLIC4P1	20	0
CLIC4	4880	1480
CLIC2	9	30
CLIC1	10521	1228
CLHC1	275	148
CLGN	1357	60
CLEC4M	0	15
CLEC4E	4	280
CLEC4A	4	19
CLEC3B	308	26
CLEC2D	242	92
CLEC2B	102	322
CLEC20A	15	5
CLEC19A	20	5
CLEC17A	0	149
CLEC16A	1191	112
CLEC14A	9	12
CLEC12A-AS1	0	15
CLEC11A	14	37
CLDND2	30	264
CLDND1	2712	2784
CLDN9	2	21
CLDN7	14	50
CLDN6	0	88
CLDN5	14	4
CLDN4	60	287
CLDN3	8	13
CLDN23	175	118
CLDN22	168	27
CLDN2	5856	312
CLDN15	299	561
CLDN14-AS1	35	15
CLDN14	9	24
CLDN12	2506	1301
CLDN11	14	53
CLDN10	40	57
CLDN1	3930	2515
CLCN7	1345	771
CLCN6	716	282
CLCN5	1343	83
CLCN4	678	93
CLCN3P1	259	14
CLCN3	3911	671
CLCN2	147	215
CLCN1	0	15
CLCF1	1609	1908
CLCC1	3769	206
CLCA4-AS1	14	72
CLC	0	16
CLBA1	1318	574
CLASRP	975	3773
CLASP2	4163	233
CLASP1-AS1	18	266
CLASP1	3627	622
CKS2	4054	2622
CKS1BP3	84	74
CKS1BP2	10	48
CKS1BP1	15	8
CKS1B	4765	618
CKMT2-AS1	234	102
CKMT2	22	21
CKMT1B	68	5
CKMT1A	40	9
CKLF-CMTM1	822	25
CKLF	844	29
CKB	909	3031
CKAP5	15582	1611
CKAP4	5664	204
CKAP2LP1	0	15
CKAP2L	3534	364
CKAP2-DT	6	104
CKAP2	6942	720
CIZ1	3162	695
CITED4	81	316
CITED2	246	14227
CIT	3714	135
CISH	47	41
CISD3	1818	215
CISD2	3951	509
CISD1	1720	159
CIRBP-AS1	51	151
CIRBP	3377	3245
CIR1	1158	439
CIPC	1308	640
CIP2A	5670	691
CINP	2277	227
CILP2	5	18
CILP	0	107
CILK1	952	380
CIITA	634	257
CIDECP1	292	420
CIDEC	124	10
CIDEB	1281	504
CICP16	23	2
CICP14	206	19
CIC	3118	1972
CIBAR1P1	152	10
CIBAR1	2118	927
CIB2	312	4
CIB1	2217	1267
CIART	27	154
CIAPIN1	3312	594
CIAO3	768	319
CIAO2B	620	1082
CIAO2A	4232	754
CIAO1	5133	1557
CHURC1-FNTB	2189	285
CHURC1	4337	1407
CHUK-DT	309	327
CHUK	5089	1131
CHTOP	3675	3008
CHTF8	3422	1537
CHTF18	441	518
CHSY3	20	2
CHSY1	3586	297
CHST9	10	4
CHST7	260	33
CHST6	24	8
CHST3	3034	104
CHST2	19	22
CHST15	1016	136
CHST14	316	56
CHST13	10	2
CHST12	537	72
CHST11	1179	108
CHST10	974	67
CHST1	12	62
CHROMR	1993	894
CHRNG	21	71
CHRNE	141	97
CHRNB4	6	14
CHRNB2	70	292
CHRNB1	143	77
CHRNA7	73	71
CHRNA5	2762	183
CHRNA3	361	64
CHRNA10	26	188
CHRM5	2	16
CHRM4	6	18
CHRM3	38	16
CHRFAM7A	116	11
CHRDL1	3	14
CHRAC1	3998	669
CHPT1	3029	104
CHPF2	1547	1161
CHPF	193	93
CHP1	7666	1466
CHORDC1P4	33	3
CHORDC1P1	2	10
CHORDC1	8071	1111
CHN2	52	310
CHN1	1078	61
CHMP7	2961	325
CHMP6	638	55
CHMP5	4485	2520
CHMP4C	678	202
CHMP4BP1	0	19
CHMP4B	4776	1026
CHMP4A	1716	1071
CHMP3-AS1	1356	921
CHMP3	8298	311
CHMP2B	7463	2585
CHMP2A	2834	3116
CHMP1B2P	190	26
CHMP1B-AS1	876	3062
CHMP1B	2374	7508
CHMP1A	2137	1392
CHML	6530	2053
CHM	2584	635
CHKB-DT	92	148
CHKB-CPT1B	690	1880
CHKB	338	834
CHKA-DT	4	20
CHKA	2189	678
CHID1	1389	59
CHIC2	217	89
CHIC1	2470	376
CHGB	532	594
CHGA	29	344
CHFR-DT	10	17
CHFR	1375	433
CHERP	1734	1743
CHEK2	583	5716
CHEK1	3652	266
CHDH	1132	36
CHD9	6810	2249
CHD8	8109	1260
CHD7	1905	282
CHD6	2948	528
CHD5	89	6
CHD4	14935	4137
CHD3	9075	3325
CHD2	4933	7545
CHD1L	3846	422
CHD1-DT	47	882
CHD1	6454	1315
CHCHD7	862	3590
CHCHD6	264	0
CHCHD5	276	48
CHCHD4P3	20	20
CHCHD4	1784	173
CHCHD3P3	17	1
CHCHD3	6642	251
CHCHD2	5542	531
CHCHD10	312	39
CHCHD1	987	1277
CHASERR	1768	4119
CHAMP1	3131	1380
CHAF1B	2647	143
CHAF1A	2809	333
CHADL	106	32
CHAD	31	6
CHAC2	1559	479
CHAC1	36	11
CH25H	0	10057
CGRRF1	787	196
CGREF1	600	75
CGNL1	174	79
CGN	332	115
CGGBP1	7876	9985
CGB7	0	27
CGB3	2	12
CGAS	1320	410
CFTR	6	46
CFP	19	163
CFLAR-AS1	594	2666
CFLAR	5103	9692
CFL2	9646	1687
CFL1P5	19	2
CFL1P1	50	193
CFL1	25969	4004
CFI	149	8
CFHR3	107	15
CFHR1	14	8
CFH	6392	1047
CFDP1	1573	1596
CFD	169	76
CFB	182	22089
CFAP97D1	4	66
CFAP97	5156	378
CFAP92	160	18
CFAP91	31	14
CFAP73	753	110
CFAP70	52	191
CFAP69	146	73
CFAP65	14	98
CFAP61	12	5
CFAP58-DT	2	363
CFAP58	21	43
CFAP57	27	2194
CFAP54	39	278
CFAP53	13	76
CFAP52	33	436
CFAP47	12	0
CFAP46	42	54
CFAP45	16	140
CFAP44-AS1	21	17
CFAP44	773	244
CFAP43	23	132
CFAP418-AS1	65	77
CFAP418	975	117
CFAP410	250	145
CFAP36	2010	367
CFAP300	279	15
CFAP298-TCP10L	1523	223
CFAP298	1726	337
CFAP276	2	33
CFAP251	111	108
CFAP210	6	10
CFAP20DC-AS1	14	0
CFAP20DC	219	9
CFAP206	52	6
CFAP20	1377	3142
CFAP157	253	55
CFAP141	3	34
CFAP126	367	162
CFAP119	144	637
CETP	0	94
CETN4P	20	131
CETN3	1492	354
CETN2	2813	197
CES4A	62	57
CES3	203	40
CES2	1939	1124
CES1	686	24
CERT1	3756	1492
CERS6-AS1	2646	82
CERS6	5544	144
CERS5	1241	168
CERS4	66	11
CERS2	9952	1120
CERS1	76	45
CEROX1	21	16
CERNA1	347	72
CERKL	188	148
CERK	2297	90
CERCAM	677	11
CEPT1	1149	431
CEP97	2426	402
CEP95	2106	1471
CEP89	3069	2548
CEP85L	521	111
CEP85	1744	232
CEP83-DT	26	263
CEP83	1533	153
CEP78	4763	219
CEP76	697	799
CEP72	533	65
CEP70	562	120
CEP68	1532	1059
CEP63	1341	210
CEP57L1P1	13	2
CEP57L1	1190	115
CEP57	2492	525
CEP55	9113	1273
CEP44	1277	592
CEP43	1192	628
CEP41	1125	227
CEP350	5363	3271
CEP295NL	1034	41
CEP295	2544	5328
CEP290	3900	1213
CEP250-AS1	116	28
CEP250	3406	266
CEP20	7083	568
CEP192-DT	420	68
CEP192	2473	256
CEP19	317	62
CEP170P1	40	10
CEP170B	1776	495
CEP170	5292	682
CEP164P1	281	662
CEP164	1493	369
CEP162	562	153
CEP152	1576	187
CEP135	1696	1333
CEP131	343	65
CEP128	1271	141
CEP126	873	125
CEP120	2950	510
CEP112	908	136
CEP104	1799	532
CENPX	1461	246
CENPW	396	20
CENPVL3	10	0
CENPV	2150	361
CENPU	3224	380
CENPT	1035	787
CENPS-CORT	901	151
CENPS	990	154
CENPQ	1211	199
CENPP	1642	281
CENPO	5859	512
CENPNP1	1	50
CENPN-AS1	1229	195
CENPN	5880	1033
CENPM	410	86
CENPL	1661	341
CENPK	4029	303
CENPJ	2249	478
CENPI	3340	137
CENPH	1569	189
CENPF	17357	1719
CENPE	5177	604
CENPC	1063	438
CENPBD2P	1556	446
CENPBD1P	545	1623
CENPB	5606	720
CENPA	2202	239
CEND1	35	3
CENATAC-DT	87	10
CENATAC	1196	680
CEMP1	167	192
CEMIP2	13221	983
CEMIP	154	65
CELSR3	538	1032
CELSR2	1203	154
CELSR1P1	68	6
CELSR1	4617	481
CELF6	9	27
CELF5	17	40
CELF3	6	18
CELF2	10	8
CELF1	6759	2286
CEL	6	94
CECR7	187	114
CECR2	18	3
CEBPZOS	6890	2198
CEBPZ	11048	3305
CEBPG	6501	6448
CEBPD	276	2195
CEBPB-AS1	194	952
CEBPB	1682	8403
CEBPA-DT	76	10
CEBPA	223	485
CEACAMP10	0	507
CEACAM7	38	26
CEACAM6	9441	612
CEACAM5	230	179
CEACAM22P	2	46
CEACAM21	0	12
CEACAM20	4	83
CEACAM19	1804	1052
CEACAM16-AS1	70	234
CEACAM16	5	30
CEACAM1	318	5991
CDYL2	32	41
CDYL	2331	209
CDX2	14	0
CDV3	10678	5210
CDT1	960	123
CDSN	26	161
CDS2	5127	339
CDS1	128	10
CDRT4	282	18
CDRT15P6	6	33
CDRT15P12	0	16
CDRT15P11	0	34
CDRT15P1	24	27
CDRT15L2	0	10
CDRT15	11	7
CDR2L	1740	274
CDR2	3344	1054
CDR1	24	2
CDPF1P1	45	77
CDPF1	228	75
CDON	428	30
CDNF	82	25
CDKN3	1800	309
CDKN2D	93	303
CDKN2C	1331	6694
CDKN2B-AS1	243	549
CDKN2AIPNLP2	0	13
CDKN2AIPNL	1585	544
CDKN2AIP	1071	3245
CDKN2A	10	2
CDKN1C	12	189
CDKN1B	2003	9167
CDKN1A	4641	5297
CDKL5	2605	439
CDKL4	2	11
CDKL3	49	308
CDKL2	293	102
CDKL1	1257	492
CDKAL1	615	68
CDK9	1377	316
CDK8	1286	130
CDK7	2248	768
CDK6-AS1	7	84
CDK6	8412	2774
CDK5RAP3	3223	1985
CDK5RAP2	5696	341
CDK5RAP1	1776	300
CDK5R2	10	22
CDK5R1	358	1244
CDK5	547	16
CDK4	7045	1140
CDK3	168	553
CDK2AP2	532	875
CDK2AP1	5378	332
CDK20	295	633
CDK2	3614	818
CDK19	838	770
CDK18	28	8
CDK17	2061	494
CDK16	3863	2254
CDK14	32	16
CDK13-DT	25	510
CDK13	3269	737
CDK12	9078	3020
CDK11B	1609	1580
CDK11A	707	1623
CDK10	748	823
CDK1	13606	1665
CDIPT	1324	286
CDIP1	246	135
CDIN1	948	63
CDHR5	10	12
CDHR4	31	39
CDHR3	218	46
CDHR2	57	20
CDHR1	42	10
CDH9	5	30
CDH8	13	43
CDH7	66	10
CDH6	441	32
CDH5	24	23
CDH4	358	20
CDH26	32	6
CDH24	281	700
CDH23	38	585
CDH2	3400	186
CDH19	164	8
CDH17	1474	84
CDH16	50	14
CDH13	4	21
CDH11	16	3
CDH10	25	29
CDH1	2580	44
CDCP1	899	70
CDCA8	2392	676
CDCA7L	2572	129
CDCA7	4852	959
CDCA5	4287	1084
CDCA4	2730	256
CDCA3	1727	499
CDCA2	4961	714
CDC73	5558	495
CDC7	1781	302
CDC6	10553	619
CDC5L	4511	610
CDC45	2077	219
CDC42SE2	4592	236
CDC42SE1	5163	2942
CDC42P6	115	7
CDC42EP5	0	16
CDC42EP4	2587	1102
CDC42EP3	3334	8056
CDC42EP2	300	196
CDC42EP1	463	78
CDC42BPG	79	22
CDC42BPB	8519	545
CDC42BPA	5977	968
CDC42-IT1	0	10
CDC42-AS1	404	150
CDC42	11106	1067
CDC40	1611	222
CDC37P2	2	62
CDC37L1-DT	13	55
CDC37L1	1650	3741
CDC37	4897	4485
CDC34	1087	296
CDC27	13459	1385
CDC26P1	157	32
CDC26	784	170
CDC25C	638	83
CDC25B	12761	2015
CDC25A	1890	238
CDC23	3991	2321
CDC20P1	113	35
CDC20B	0	16
CDC20-DT	11	50
CDC20	4337	2279
CDC16	3362	614
CDC14C	21	6
CDC14B	1501	322
CDC14A	370	255
CDC123	6235	281
CDAN1	534	169
CDADC1	284	194
CDA	224	17
CD99P1	116	459
CD99L2	4535	82
CD99	3521	133
CD96	4	14
CD93	9	17
CD9	3597	336
CD8B	0	19
CD8A	17	15
CD83	86	1043
CD82	126	10
CD81-AS1	88	24
CD81	4076	1973
CD80	3	23
CD79B	0	10
CD79A	8	92
CD74	6	26
CD72	8	12
CD70	200	351
CD7	0	31
CD69	0	28
CD68	1206	638
CD63-AS1	227	187
CD63	10848	1740
CD59	14067	4173
CD58	852	149
CD55	3157	1453
CD47	3916	336
CD46	16699	3338
CD44-DT	33	1196
CD44-AS1	2503	590
CD44	37999	9539
CD40	145	243
CD4	10	18
CD38	2123	3095
CD37	287	43
CD36	22	10
CD34	1	25
CD320	754	125
CD302	438	77
CD300LB	0	14
CD2BP2-DT	221	285
CD2BP2	3708	5831
CD2AP-DT	51	477
CD2AP	6197	3905
CD276	1193	220
CD274	91	6445
CD27-AS1	30	420
CD27	6	178
CD24P4	28	11
CD247	151	5
CD24	34878	22536
CD226	73	35
CD22	150	178
CD200R1	8	27
CD200	0	10
CD1D	2	12
CD164	10965	6085
CD163L1	20	43
CD163	0	17
CD160	40	57
CD151	5363	908
CD14	80	319
CD109-AS1	185	52
CD109	19005	577
CD101-AS1	22	3
CD101	20	1
CCZ1P1	198	131
CCZ1B	948	194
CCZ1	1569	327
CCT8P1	171	44
CCT8L1P	0	17
CCT8	14849	3141
CCT7	21151	2008
CCT6P3	123	410
CCT6P1	329	2885
CCT6B	130	52
CCT6A	32854	7716
CCT5	29020	2843
CCT4	24521	2051
CCT3	24183	1466
CCT2	22470	5238
CCSER2	3169	490
CCSAP	1899	590
CCS	367	209
CCR7	63	540
CCR4	0	138
CCR10	39	14
CCPG1	10224	470
CCP110	3729	997
CCNYL1	3199	1695
CCNY-AS1	59	294
CCNY	3196	235
CCNT2-AS1	112	81
CCNT2	2936	2664
CCNT1	4874	5060
CCNQ	570	224
CCNP	8	356
CCNO-DT	277	55
CCNO	89	59
CCNL2	4302	7635
CCNL1	4818	43102
CCNK	4025	894
CCNJL	814	27
CCNJ	1460	870
CCNI2	18	243
CCNI	5952	645
CCNH	2628	455
CCNG2	193	603
CCNG1	8328	9180
CCNF	2376	197
CCNE2	2215	508
CCNE1	1960	994
CCNDBP1	772	1002
CCND3	6176	341
CCND2	0	14
CCND1	27842	7416
CCNC	4280	2025
CCNB3	96	15
CCNB2	3344	1017
CCNB1IP1	1505	955
CCNB1	9474	2184
CCNA2	7026	803
CCN5	176	187
CCN4	4	956
CCN3	533	418
CCN2-AS1	15	360
CCN2	641	10964
CCN1	3497	29466
CCM2L	0	74
CCM2	959	44
CCL5	12	99596
CCL4L2	0	42
CCL4	0	328
CCL3L1	0	42
CCL3-AS1	0	184
CCL3	0	206
CCL28	24	121
CCL27	3	22
CCL26	20	2
CCL22	0	25
CCL20	6	8401
CCL2	2664	19597
CCL19	0	12
CCL17	0	24
CCK	45	32
CCHCR1	501	255
CCER2	13	85
CCDC9B	833	655
CCDC97	2235	1738
CCDC96	104	139
CCDC93	3236	725
CCDC92	683	149
CCDC91	2065	131
CCDC90B-AS1	19	7
CCDC90B	2038	267
CCDC9	707	573
CCDC89	0	16
CCDC88C	707	30
CCDC88B	107	91
CCDC88A	7042	1018
CCDC87	42	20
CCDC86	3614	661
CCDC85C	5266	1108
CCDC85B	430	980
CCDC85A	81	7
CCDC82	3147	1165
CCDC81	26	33
CCDC80	2585	2041
CCDC78	98	445
CCDC77	1168	212
CCDC74BP1	37	22
CCDC74B	56	35
CCDC74A	182	33
CCDC73	106	169
CCDC71L	402	2104
CCDC71	384	95
CCDC7	223	64
CCDC69	154	29
CCDC68	767	254
CCDC66	1089	364
CCDC65	116	69
CCDC62	12	80
CCDC61	105	72
CCDC6	7441	1970
CCDC59	1972	1720
CCDC57	1134	272
CCDC51	1456	506
CCDC50	2866	2134
CCDC47	13630	2520
CCDC43	3189	660
CCDC40	299	335
CCDC39	797	559
CCDC38	12	135
CCDC34	2088	220
CCDC33	84	20
CCDC32	382	109
CCDC30	84	131
CCDC3	18	21
CCDC28B	71	181
CCDC28A-AS1	16	8
CCDC28A	275	120
CCDC27	31	10
CCDC26	0	10
CCDC25	3719	447
CCDC24	156	55
CCDC22	450	264
CCDC200	48	64
CCDC198	715	128
CCDC194	2	172
CCDC192	34	4
CCDC191	362	111
CCDC186	1759	396
CCDC184	86	18
CCDC183-AS1	57	23
CCDC183	73	49
CCDC181	73	49
CCDC180	191	29
CCDC18-AS1	247	549
CCDC18	1344	189
CCDC175	377	13
CCDC174	979	1257
CCDC171	174	25
CCDC170	43	4
CCDC17	13	126
CCDC169-SOHLH2	28	15
CCDC169	58	51
CCDC168	4	32
CCDC167	273	18
CCDC163	52	92
CCDC162P	113	133
CCDC159	888	350
CCDC157	222	237
CCDC154	1	18
CCDC152	36	9
CCDC150	700	801
CCDC15-DT	15	50
CCDC15	291	16
CCDC149	194	20
CCDC148	19	18
CCDC146	303	28
CCDC144NL-AS1	2069	526
CCDC144NL	0	15
CCDC144CP	60	36
CCDC144B	206	46
CCDC144A	1058	146
CCDC142	1095	450
CCDC140	0	57
CCDC14	8059	1395
CCDC138	1421	68
CCDC137	3048	1779
CCDC136	188	41
CCDC134	842	219
CCDC13-AS2	0	664
CCDC13	7	155
CCDC127	1533	441
CCDC126	302	87
CCDC125	874	122
CCDC124	1273	226
CCDC122	304	119
CCDC121	405	533
CCDC120	121	47
CCDC12	710	267
CCDC117	2533	3112
CCDC116	0	14
CCDC115	791	564
CCDC113	719	384
CCDC112	1373	243
CCDC107	604	180
CCDC106	294	176
CCDC103	467	49
CCDC102B	10	13
CCDC102A	232	41
CCBE1	912	38
CCAR2	5981	4489
CCAR1	9483	2358
CC2D2B	61	17
CC2D2A	1191	164
CC2D1B	1369	546
CC2D1A	696	229
CBY1	477	108
CBX8	532	1059
CBX7	91	20
CBX6	3280	541
CBX5	17830	1960
CBX4	1201	8958
CBX3P9	240	14
CBX3P4	1	12
CBX3P2	26	103
CBX3P1	13	1
CBX3	22023	2537
CBX2	1015	128
CBX1P3	0	122
CBX1	6938	479
CBWD6	508	311
CBWD5	1295	712
CBWD4P	72	49
CBWD3	370	238
CBWD2	1230	646
CBWD1	1645	323
CBS	71	4
CBR4-DT	0	12
CBR4	1592	287
CBR3-AS1	204	41
CBR3	268	22
CBR1-AS1	571	46
CBR1	4000	178
CBLN3	131	309
