	A549_CTL_rnaseq	A549_PIC_rnaseq
ZCCHC3	1790	8247
ZCCHC24	421	77
ZCCHC2	1104	820
ZCCHC17	1053	43
ZCCHC14-DT	12	3
ZCCHC14	1848	1471
ZCCHC12	3	174
ZCCHC10	1470	822
ZC4H2	274	2
ZC3HC1	1153	194
ZC3HAV1L	524	125
ZC3HAV1	6926	61776
ZC3H8	1670	324
ZC3H7B	2619	675
ZC3H7A	3204	1137
ZC3H6	97	242
ZC3H4	1886	1299
ZC3H3	738	130
ZC3H18	3958	602
ZC3H15	7171	1998
ZC3H14	8586	1292
ZC3H13	5150	1029
ZC3H12D	2	21
ZC3H12C	1332	1564
ZC3H12B	103	55
ZC3H12A-DT	291	19
ZC3H12A	362	4710
ZC3H11B	203	124
ZC3H11A	10647	3872
ZC3H10	348	107
ZC2HC1C	671	219
ZC2HC1A	1420	153
ZBTB9	727	529
ZBTB8OS	886	183
ZBTB8B	2	10
ZBTB8A	470	102
ZBTB7C	12	2
ZBTB7B	1298	290
ZBTB7A	1566	756
ZBTB6	1552	4034
ZBTB5	1722	8133
ZBTB49	146	109
ZBTB48	261	386
ZBTB47-AS1	369	141
ZBTB47	300	57
ZBTB46-AS2	37	86
ZBTB46	345	512
ZBTB45P2	14	0
ZBTB45P1	29	2
ZBTB45	362	82
ZBTB44	2592	450
ZBTB43	1074	1562
ZBTB42	147	16
ZBTB41	3122	729
ZBTB40-IT1	21	0
ZBTB40	1988	588
ZBTB4	2846	600
ZBTB39	1044	2444
ZBTB38	12651	2219
ZBTB37	884	370
ZBTB34	1023	2576
ZBTB33	3192	3313
ZBTB32	20	149
ZBTB3	74	74
ZBTB26	739	3167
ZBTB25	2624	419
ZBTB24	1438	234
ZBTB22	138	245
ZBTB21	2137	2675
ZBTB20-AS4	0	48
ZBTB20	1612	761
ZBTB2	1390	705
ZBTB18	1963	1578
ZBTB17	278	234
ZBTB14	936	56
ZBTB12	138	21
ZBTB11-AS1	246	642
ZBTB11	3529	1061
ZBTB10	1198	1192
ZBTB1	2717	1502
ZBP1	0	23
ZBED9-AS1	1	106
ZBED9	323	994
ZBED8	553	378
ZBED6	10604	3828
ZBED5-AS1	390	3166
ZBED5	5050	37543
ZBED4	2296	386
ZBED3-AS1	172	56
ZBED3	1014	198
ZBED2	32	2
ZBED1	1855	843
ZAN	0	28
ZADH2	1499	278
ZACN	2006	394
YY2	217	75
YY1AP1	2456	1047
YY1	7025	1799
YWHAZP4	11	11
YWHAZP3	68	8
YWHAZP2	28	2
YWHAZP10	20	2
YWHAZ	71108	5305
YWHAQP6	23	0
YWHAQ	46987	1559
YWHAH-AS1	10	35
YWHAH	6888	2633
YWHAG	32578	7590
YWHAEP5	2	18
YWHAEP1	156	6
YWHAE	35127	2776
YWHABP2	12	17
YWHAB	23957	1905
YTHDF3-DT	2	99
YTHDF3	6334	1519
YTHDF2P1	6	18
YTHDF2	3827	1621
YTHDF1	5293	2874
YTHDC2	4065	776
YTHDC1	4792	3905
YRDC	971	1290
YPEL5	1591	630
YPEL4	10	75
YPEL3-DT	6	13
YPEL3	28	59
YPEL2	143	105
YPEL1	155	79
YOD1	2668	8414
YME1L1	16946	3409
YLPM1	7052	640
YKT6	6226	2703
YJU2B	282	813
YJU2	452	292
YJEFN3	229	660
YIPF7	28	17
YIPF6	4867	1421
YIPF5	3217	768
YIPF4	3418	1358
YIPF3	1176	1224
YIPF2	637	89
YIPF1	732	53
YIF1B	3145	999
YIF1A	880	333
YES1	5262	471
YEATS4	1985	286
YEATS2-AS1	332	23
YEATS2	2120	138
YDJC	439	158
YBX3P1	36	7
YBX3	6522	6268
YBX2	19	12
YBX1P3	0	38
YBX1P2	22	23
YBX1P10	339	11
YBX1P1	212	15
YBX1	26933	2099
YBEY	489	125
YARS2	1175	553
YARS1	5688	444
YAP1	5596	928
YAF2	1404	510
YAE1	795	618
Y_RNA	625	62
XYLT2	1026	67
XYLB	822	32
XXYLT1	797	23
XRRA1	1176	149
XRN2	11683	941
XRN1	2014	1567
XRCC6P2	12	5
XRCC6P1	1	40
XRCC6	20163	1550
XRCC5	30431	853
XRCC4	956	42
XRCC3	1585	292
XRCC2	3782	1266
XRCC1	1288	625
XPR1	6161	218
XPOTP1	88	1
XPOT	13671	2146
XPO7	7499	496
XPO6	5628	1102
XPO5	4895	346
XPO4	4412	383
XPO1	33725	9325
XPNPEP3	1831	368
XPNPEP1	2202	285
XPC-AS1	1240	873
XPC	2956	1304
XPA	941	1428
XNDC1N-ZNF705EP-ALG1L9P	150	70
XNDC1N	160	38
XKR9	36	19
XKR8	149	32
XKR7	2	22
XK	534	146
XIST	25	12
XIRP1	0	74
XIAP	6144	770
XGY2	1320	189
XDH	229	370
XBP1P1	2	14
XBP1	2509	5192
XAGE1B	11	7
XAF1	4	80
XAB2	895	2062
WWTR1-AS1	323	219
WWTR1	16219	2054
WWP2	1783	147
WWP1P1	27	4
WWP1-AS1	17	93
WWP1	4475	521
WWOX	562	47
WWC3-AS1	1	21
WWC3	2034	439
WWC2-AS2	12	63
WWC2	3267	350
WWC1	8357	622
WTIP	435	188
WTAPP1	15	33
WTAP	3639	5483
WT1-AS	24	31
WT1	243	28
WSCD1	243	2
WSB2	3913	602
WSB1	2772	5791
WRNIP1	1609	438
WRN	2539	311
WRAP73	463	209
WRAP53	1422	3499
WNT9A	254	105
WNT8B	0	17
WNT7B	6408	236
WNT5B	20	0
WNT5A	434	104
WNT4	6	26
WNT3	393	99
WNT2B	203	198
WNT16	4	10
WNT11	4	12
WNT10B	137	14
WNK4	95	1048
WNK3	15	161
WNK2	486	34
WNK1	16761	3800
WLS	1353	289
WIZ	1106	265
WIPI2	1827	531
WIPI1	409	102
WIPF3	140	6
WIPF2	3606	466
WIPF1	1780	155
WIF1	0	10
WHSC1L2P	10	4
WHRN	80	39
WHAMMP4	236	89
WHAMMP3	394	296
WHAMMP2	526	131
WHAMMP1	368	96
WHAMM	1213	2088
WFS1	739	327
WFIKKN2	0	20
WFIKKN1	9	10
WFDC5	0	488
WFDC21P	42	49
WFDC12	0	12
WEE2-AS1	21	17
WEE1	2528	1991
WDTC1	423	20
WDSUB1	528	56
WDR97	67	188
WDR93	18	14
WDR91	458	277
WDR90	452	782
WDR89	1906	513
WDR88	80	172
WDR86-AS1	0	16
WDR86	332	332
WDR83OS	1103	532
WDR83	929	680
WDR82P1	13	4
WDR82	5885	979
WDR81	1308	230
WDR77	2855	953
WDR76	3055	182
WDR75	5516	2123
WDR74	1521	3982
WDR73	2937	2989
WDR72	3101	605
WDR70	1263	175
WDR7-OT1	173	13
WDR7	1591	131
WDR62	2531	912
WDR61	3542	1066
WDR6	3733	1693
WDR5B-DT	2988	1249
WDR5B	707	1197
WDR59	1245	174
WDR55	3140	3147
WDR54	695	98
WDR53	429	233
WDR5	4130	363
WDR48	2315	1315
WDR47	872	606
WDR46	1888	3556
WDR45BP1	24	4
WDR45B	5616	1767
WDR45	655	804
WDR44	1988	242
WDR43	12706	3100
WDR41	3428	313
WDR4	855	142
WDR38	212	88
WDR37	850	526
WDR36	5198	1316
WDR35-DT	119	196
WDR35	3735	1034
WDR33	4838	1764
WDR31	310	68
WDR3	5106	380
WDR27	818	157
WDR26	5409	7566
WDR25	317	87
WDR24	324	803
WDR20	1515	375
WDR19	789	616
WDR18	529	84
